vendor_nickname, revenue, positive, negative, ships
'prisma', 1778 ,0,-3,''
'bugz-dw', 220 ,0,0,''
'dailyfix', 60 ,0,-1,''
'masterion', 0 ,0,0,''
'ipisscodeine', 1745 ,6,-2,''
'doctoracab', 0 ,0,0,''
'rollingstoned', 268 ,0,-1,''
'c10labs', 13 ,0,0,''
'stealthydrugs', 7274 ,217,-3,''
'goldengate2', 50 ,0,0,''
'legendary-shop', 185 ,0,-1,''
'johnson-johnson', 0 ,0,0,''
'p3nd8s', 0 ,0,0,''
'premiumspores', 0 ,0,0,''
'suomenninja', 10 000+ ,1779,-10,' Finland'
'cvanhout', 82 ,0,0,''
'dutchrabblt2', 310 ,181,0,''
'theezycrew', 0 ,0,0,''
'prestigeworldwide', 0 ,0,0,''
'yourdrugstorenl', 0 ,0,0,''
'junotempleh', 246 ,0,-1,''
'gommaroc1', 8849 ,35,-9,''
'mrn1ce', 192 ,0,-11,''
'the-good-doctor', 28 ,0,0,''
'candy4you', 6523 ,170,-4,''
'thetab', 0 ,0,0,''
'kukkarane', 2606 ,23,-4,''
'wizardofozs', 186 ,0,0,''
'thetoothfairy', 1302 ,12,-1,''
'dopeplanet', 2018 ,45,-1,''
'projeccao', 10 000+ ,739,-4,' France'
'mary-suzy', 0 ,0,0,''
'dionysos', 8013 ,381,-5,' Austria'
'odinshop', 10 000+ ,0,-16,''
'bigactionman007', 0 ,0,0,''
'yourdealer', 995 ,57,-2,''
'notorious-dic', 214 ,0,0,''
'sky88', 0 ,0,0,''
'arnold', 10 000+ ,1701,-17,''
'michaels', 10 000+ ,146,0,''
'aymenteq', 47 ,0,0,''
'weedespana', 0 ,0,0,''
'ukbargains', 26 ,0,0,''
'chemicaibrothersau', 4566 ,1061,0,''
'the-scurvy-crew', 10 000+ ,668,-13,' Spain'
'a-team', 10 000+ ,1432,0,''
'dope-total', 4734 ,122,-26,''
'ablonelsd', 0 ,0,0,''
'mrs-mushroom', 30 ,0,-1,''
'hataapteekki', 10 000+ ,340,-17,' Finland'
'right3ous', 5161 ,38,0,''
'medicsnl', 80 ,0,0,''
'supermarket', 35 ,0,0,''
'calicartel', 221 ,0,-1,''
'shaphex', 0 ,0,0,''
'chopper-read', 0 ,0,0,''
'krit-a-coca', 0 ,0,0,''
'thegermanbudtender1', 10 000+ ,2003,-61,' Germany'
'gfellas', 0 ,0,0,''
'acc4btc', 120 ,0,0,' Finland, Germany'
'bcdirect', 0 ,0,0,''
'swedishbosses', 0 ,0,0,''
'nuuskatukku2', 6025 ,126,-2,''
'doktorgreen', 764 ,7,0,' Germany'
'chapomart2', 0 ,0,0,''
'media-base', 9364 ,213,-8,''
'pharmroids', 440 ,69,0,' Bulgaria'
'shiz0', 100 ,0,0,''
'thisone88', 0 ,0,0,''
'falcon', 1368 ,18,-5,''
'azilla', 0 ,0,0,''
'doctordrug', 96 ,0,-1,' India'
'st-pepper', 10 000+ ,315,-8,''
'insidethewhaie', 1748 ,1169,0,''
'weed-depot', 4078 ,37,-1,' Germany'
'diilahfin', 10 000+ ,245,-34,''
'caiiforniadreams', 58 ,264,0,''
'drfeelgood2015', 129 ,0,0,''
'apo-norway', 0 ,0,0,''
'mr-delicious', 195 ,0,0,''
'pharmafox', 0 ,0,0,''
'dope-exchange', 871 ,5,0,''
'nordiskeapoteket2', 10 000+ ,230,-2,' Norway'
'robert-e', 0 ,0,0,''
'whitepower', 230 ,0,0,''
'highend-dope', 4694 ,128,-1,''
'continustor', 278 ,0,-2,''
'ediblechef', 0 ,0,0,''
'ilmarinen', 5826 ,57,-20,''
'viking_king', 10 000+ ,1013,-35,' Norway'
'thebluefly', 0 ,0,0,''
'carlos-lopez', 10 000+ ,1785,-17,' Czech Republic'
'cna', 40 ,0,0,''
'bluefly', 2 ,0,0,''
'speedball', 15 ,0,0,''
'greatwhite99', 0 ,0,0,''
'speed-x-press', 3317 ,35,-11,''
'mistagreenabis', 0 ,0,0,''
'arcre8t0r', 5340 ,1,0,' Germany'
'rocketship1', 0 ,0,0,''
'dutchwindmill', 0 ,0,0,''
'bathramme', 10 000+ ,563,-9,' Hungary'
'joseph44trader', 0 ,0,0,''
'balkanpharma', 0 ,0,0,''
'dankteamgb', 267 ,0,0,''
'apotek1', 10 000+ ,62,-51,''
'godsgarden', 1029 ,18,0,' United Kingdom'
'kuliacan', 12 ,0,0,''
'thegermanguy2', 215 ,0,-1,''
'weedhouse', 0 ,0,0,''
'fakeidmarket', 0 ,0,0,''
'rxwholesale', 24 ,0,0,''
'appleinc', 9675 ,2401,-22,' Netherlands'
'nik_in', 0 ,0,0,''
'ukladybuds', 0 ,0,0,''
'addygirl', 0 ,0,0,''
'zoneparty', 0 ,0,0,''
'dimitribros', 0 ,0,0,''
'steroidwarehouse', 10 000+ ,521,-3,' Netherlands'
'sunfaija', 10 000+ ,163,-9,''
'therosinmaster', 0 ,0,0,''
'giantgrill', 0 ,0,0,''
'crakerjack', 0 ,0,0,''
'sweettoothh', 0 ,0,0,''
'germandreams', 94 ,0,0,''
'proficio', 113 ,0,0,''
'rxhind', 0 ,0,0,''
'cryptobear', 106 ,0,0,''
'pablopablito', 204 ,0,-2,''
'sputnika', 110 ,0,0,''
'oz-team', 0 ,0,0,''
'addamsfamilymarket', 0 ,0,0,''
'blackmorace94040', 14 ,0,0,''
'deliveryclockwork', 34 ,0,0,''
'monetka', 2336 ,350,-10,''
'osquareinc', 0 ,0,0,''
'index.html',,,,''
'ragstoriches1', 10 000+ ,564,-11,' United States'
'ruffneckrules', 3729 ,45,0,''
'joseph-barboza', 7 ,0,0,''
'spotmebro', 0 ,0,0,''
'kseno', 10 000+ ,408,-146,''
'drugs-queen', 10 000+ ,547,-21,''
'amsterdam-dream', 149 ,0,-1,''
'73caprice', 0 ,0,0,''
'blackfriday', 40 ,0,0,''
'thewizzard', 4681 ,46,-9,' Netherlands'
'lions-stains', 0 ,0,0,''
'thesyndicate', 0 ,0,0,''
'senator', 166 ,0,0,''
'dfcompany', 0 ,0,0,''
'ketosaurus', 10 000+ ,169,-25,''
'sacky', 47 ,0,0,''
'willytony', 0 ,0,0,''
'germanlight', 10 000+ ,364,-10,''
'kingcarder',,1908,0,' United Kingdom'
'vendeep', 1864 ,347,-16,''
'benzoexpress', 0 ,0,0,''
'southernlover77', 0 ,0,0,''
'dope-mail-service', 4781 ,149,-2,''
'superfieks', 10 000+ ,495,-1,''
'offdabrick', 0 ,0,0,''
'habitsincorporated', 265 ,0,0,''
'sspaceagent', 0 ,0,-1,''
'randysavage666', 20 ,0,0,''
'findrugs', 6533 ,135,-20,''
'mushroomgirl', 0 ,0,0,''
'pharmx', 0 ,0,0,''
'underground-drugs', 10 000+ ,262,-6,''
'loorddisick', 0 ,0,0,''
'meatball', 0 ,0,0,''
'mrmaserati', 1141 ,986,0,''
'alko', 10 000+ ,1261,-5,' Finland'
'idealpills', 1067 ,4,-1,' United States'
'dman223', 0 ,0,0,''
'homeostasis', 12 ,0,0,''
'wakawakala9', 31 ,0,0,''
'holloboss', 2150 ,0,-5,''
'cheapassbulkshrooms', 0 ,0,0,''
'eurodrugs', 210 ,0,-1,''
'eztkapdel', 427 ,0,-16,''
'wholefoodsguy', 0 ,0,0,''
'london-underground', 145 ,0,0,''
'benson5', 11 ,0,0,''
'europe', 17 ,0,0,''
'deals-dollars', 0 ,0,0,''
'goingpostai', 1645 ,1954,0,''
'stardockgalix', 0 ,0,0,''
'germanyweedbros', 0 ,0,0,''
'charleslucky', 45 ,0,0,''
'goodtimesinc', 0 ,0,0,''
'pachoherrera', 10 000+ ,2541,-76,' Netherlands'
'dope-central', 10 000+ ,277,-7,''
'bcdreamer', 42 ,0,0,''
'digitalmafia', 12 ,0,0,''
'wofflesauce', 20 ,0,0,''
'dutchconcentrates', 1 ,0,0,''
'hackyboy', 10 000+ ,288,-19,' Netherlands, United States'
'bigdeal', 0 ,0,0,''
'flipkartin', 0 ,0,0,''
'mad-hatter', 0 ,0,0,''
'charliechaplame', 8225 ,11,0,''
'eum', 0 ,0,0,''
'multi-store', 8740 ,232,-6,''
'amsterdamtouk', 0 ,0,0,''
'ozzydexies', 0 ,0,0,''
'addiesandxans', 0 ,0,0,''
'dutch-quality', 10 000+ ,1626,-19,''
'theonlinesource', 10 000+ ,173,0,' Australia'
'humppahamppu', 10 000+ ,584,0,' Finland'
'wigglygene', 74 ,0,0,''
'drugs-labs', 1266 ,42,0,''
'cocacolafr', 0 ,0,0,''
'spain-flowers', 8846 ,286,-8,''
'cbdqueenuk',,0,0,' United Kingdom'
'senaatintori', 6961 ,120,-24,' Finland'
'capital', 10 000+ ,136,-12,''
'zulu2u', 33 ,0,0,''
'puzzleshaker', 0 ,0,0,''
'moestaverne', 167 ,5,0,''
'kushdoctor', 11 ,0,0,''
'dr-overdose', 3550 ,15,-4,''
'mr-bearlabs', 0 ,0,0,''
'jinxs', 0 ,0,0,''
'starbudsuk', 27 ,0,0,''
'mrsniffer', 10 000+ ,620,-47,' Netherlands'
'cristophercolumb', 10 000+ ,292,-59,''
'orange696', 254 ,0,-3,''
'cerberus', 10 000+ ,3017,-26,' United Kingdom'
'eurolivery', 63 ,0,0,''
'chaosteam', 0 ,0,0,' Russia'
'californiadreams', 10 000+ ,2242,-4,' Germany'
'vino', 156 ,0,0,''
'clipteam', 0 ,0,0,''
'blime-sub', 0 ,0,0,''
'methfordummies', 0 ,0,0,''
'quickconnect', 264 ,6,0,''
'gqds24', 16 ,0,0,''
'db-cooper', 0 ,0,0,''
'aquakiss', 18 ,0,0,''
'mrgoodguys', 10 000+ ,275,-1,' Canada'
'lieferheld', 0 ,0,0,''
'expressdude', 5984 ,159,-2,''
'illuminatidrugs', 51 ,0,0,''
'greendragoncannabis', 0 ,0,0,''
'probitexchange1', 10 000+ ,6,0,' United States'
'greensails', 0 ,0,0,''
'hund', 51 ,0,0,''
'ilovemymexicanplug', 0 ,0,0,''
'finnishfinest', 7181 ,571,0,''
'elroyjetson2016', 0 ,0,0,''
'redface33', 4515 ,2,0,' Austria'
'glasswerkz', 0 ,0,0,''
'mexxymanme', 136 ,0,0,''
'need4weed', 55 ,0,-1,''
'dutchspacegreen', 5 ,0,-1,''
'358918498374', 0 ,0,0,''
'mr-oxy', 88 ,0,0,''
'frontstreet', 5420 ,164,-20,''
'rxlabs', 0 ,0,0,''
'purelifestyle', 136 ,0,0,''
'druggiesdream', 0 ,0,0,''
'marytane', 55 ,0,0,''
'budsnroses', 10 000+ ,1432,-2,' United States'
'matt1034', 10 000+ ,14,0,' United States'
'multi', 8 ,0,0,''
'jefe1392', 0 ,0,0,''
'shamannaut', 0 ,0,0,''
'meqd', 1224 ,0,-15,''
'port-royal', 233 ,0,0,' United States'
'ausstuffzz', 0 ,0,0,''
'hempoil', 0 ,0,0,''
'presidentsdm', 55 ,0,0,''
'narkotavara', 10 000+ ,108,-22,''
'fatfreddyscat', 246 ,0,0,''
'necro_', 93 ,0,0,''
'ketamaster', 16 ,0,0,''
'party-hits', 4225 ,113,0,''
'zerotail123', 0 ,0,0,''
'youngamsterdam', 10 000+ ,93,-18,''
'mr-nice', 5330 ,99,0,' Finland'
'esco16', 57 ,0,0,''
'drugs-land', 10 000+ ,240,-6,''
'bulkmyyja', 0 ,0,0,''
'misterpills', 256 ,0,0,''
'hashcompany13', 0 ,0,0,''
'saiamii', 7834 ,412,0,''
'soul-budz', 10 000+ ,296,-7,''
'snakeeyes', 0 ,21,0,''
'thecanadianreserve', 10 000+ ,281,-13,' Canada'
'mr-cigar', 0 ,0,0,''
'kultaintopii', 10 000+ ,480,-47,''
'md', 10 000+ ,236,-7,' United Kingdom, United States, Finland, Netherlands, Canada'
'hashandweed', 116 ,0,0,''
'amsterdaminc', 10 000+ ,5040,-1,' Netherlands'
'deshal', 0 ,0,0,''
'cheapestmotherfucker', 0 ,0,0,''
'ukdrugstunnel', 0 ,0,0,''
'canna-juice', 82 ,0,0,''
'dope-bank', 885 ,28,0,''
'narcos87', 0 ,0,0,''
'rp2012', 0 ,0,0,''
'hollanpetters', 221 ,0,0,''
'cocacola-kid', 0 ,0,0,''
'darkcandy', 0 ,0,0,''
'coconuts', 10 000+ ,114,-14,''
'italia', 0 ,0,0,''
'muttznutz', 26 ,0,0,''
'amsterdamshop', 0 ,0,0,''
'xscalex', 62 ,0,0,' Spain'
'vanhopp', 122 ,0,0,''
'norwaystims', 10 000+ ,71,0,' Norway'
'rocketship', 2275 ,1133,-1,''
'medicaldirect', 0 ,0,0,''
'huntersthompson', 10 000+ ,1291,-14,' Germany'
'pol1', 4710 ,67,-4,''
'ickysticky', 195 ,0,0,''
'thecorp', 113 ,25,-1,''
'whiteline', 120 ,0,0,''
'happygarden', 1399 ,3157,-3,''
'layjungle', 22 ,0,0,' Poland'
'dutchprime1', 3644 ,6,-4,' Netherlands'
'mollyboys', 200 ,9,0,''
'checks', 0 ,0,0,''
'playerone', 0 ,0,0,''
'swisshound78', 97 ,0,0,''
'rotantappaja', 2866 ,11,-26,''
'superieure', 32 ,0,0,''
'mail-drugs', 4873 ,176,-3,''
'drugs-spirit', 10 000+ ,287,-23,''
'crystalmaze', 388 ,1,-4,''
'mikamis-mb', 650 ,10,0,' Serbia'
'fasterndsaffer', 10 000+ ,482,-34,' United States'
'b1g1mpact', 9496 ,641,-7,' Poland'
'guadorcs', 0 ,0,0,''
'theorchard', 162 ,0,0,''
'thehonestcocainecompany', 0 ,0,0,' United Kingdom'
'captain_kirk', 0 ,0,-2,' United States'
'j-pinkman', 0 ,0,0,''
'gofast', 0 ,0,0,''
'wifey', 80 ,0,0,''
'dutchexpress', 10 000+ ,246,-26,''
'nextgeneration', 10 000+ ,4362,-82,' United Kingdom'
'cocacool1', 0 ,0,0,''
'charlieukontor', 10 000+ ,817,-1,' United Kingdom'
'amsterdamdrugs', 6401 ,173,-1,''
'unique', 10 000+ ,257,0,''
'homo-dei', 0 ,0,0,''
'rzodiacal', 0 ,0,0,''
'blueberry232', 0 ,0,0,''
'marcopolo420', 24 ,0,0,''
'chips-cola', 0 ,0,0,''
'hotline24', 223 ,0,0,''
'kvalitetsroyk123', 10 000+ ,1512,-89,''
'kush_kingz', 0 ,0,0,''
'qualitymedical', 0 ,0,0,''
'drugsrus', 10 000+ ,32,-10,''
'schweineeier-melkende-wollsau', 0 ,0,0,''
'dopesupply', 0 ,0,0,''
'hollandsherbs', 24 ,0,0,''
'theanchor', 674 ,10,-2,''
'us-thc', 0 ,0,0,''
'tranquilandia02', 0 ,0,0,''
'scousecharlie', 0 ,0,0,''
'phluffhead', 26 ,0,0,''
'youngamsterdampassword', 0 ,0,0,''
'faceless', 10 000+ ,685,-10,' Finland'
'bulldogcoffeeshop', 44 ,0,0,''
'soiidsupply', 703 ,175,0,''
'qualityhydrobuds', 7483 ,101,0,''
'casino-royale', 2409 ,165,-1,''
'whitepowder', 0 ,0,0,''
'qzfwrty', 79 ,0,-1,' United States'
'eurogreen1one', 0 ,0,0,''
'pureforsure', 0 ,0,0,''
'deepstatus', 3927 ,24,-6,''
'star-club', 4812 ,134,-2,''
'mistejrobbot', 0 ,0,0,''
'martell', 0 ,0,0,''
'genvend', 0 ,0,0,''
'var462', 12 ,0,0,''
'gammagobiin', 277 ,0,0,''
'subuman', 0 ,0,0,''
'peruvendor', 10 000+ ,114,-159,''
'quimicos-cientificos', 2551 ,123,-4,''
'empireteam', 282 ,0,0,''
'topshottah', 0 ,0,0,''
'ozsupplies', 0 ,0,0,''
'cocainecowboyab', 0 ,0,0,''
'greenjack', 10 000+ ,468,-7,' Germany'
'superfleks', 0 ,0,0,''
'smoking-place', 3924 ,127,-2,''
'gqb6yffz', 2 ,0,1,''
'harlemknight', 150 ,0,0,''
'celticwreck', 0 ,0,0,''
'darkdope', 4043 ,131,-5,''
'pinkysplash', 0 ,0,0,''
'thebudbros', 0 ,0,0,''
'thegermansonpoint', 0 ,0,0,''
'pissedm0f0', 0 ,0,0,''
'king-midas', 0 ,0,0,''
'letsdothisshit', 0 ,0,0,''
'drugs-love', 10 000+ ,271,-4,''
'nsw-great', 6729 ,394,-4,' Australia'
'ganja-base', 6379 ,196,-7,''
'flyingkangaroo', 0 ,0,0,''
'colonelkurtz', 0 ,0,0,''
'ukweedshop', 0 ,0,0,''
'gulfcartel', 0 ,0,0,''
'kingteacher', 0 ,0,0,''
'sniffpodsr', 238 ,0,0,''
'dopeboy210', 0 ,0,0,''
'og-phoenix', 0 ,0,0,''
'australianice', 8346 ,671,-1,''
'kingofthetrill', 0 ,0,0,''
'tollanpey', 0 ,0,0,''
'ukwhite', 10 000+ ,1559,-18,' United Kingdom'
'gandoffwhite', 0 ,0,0,''
'hcb965', 0 ,0,0,''
'darknetvet', 30 ,0,0,''
'sorta-maybe', 0 ,0,0,''
'dopebuds', 0 ,0,0,''
'thedead', 61 ,0,0,''
'cm', 6514 ,21,0,' Germany'
'kingshot', 0 ,0,0,''
'dope-steve', 6874 ,206,-5,''
'hilli', 950 ,0,-5,''
'redgrouper', 0 ,0,0,''
'zeroducks2016', 213 ,0,-1,''
'carlito', 7020 ,53,-3,''
'kev28', 41 ,0,0,''
'marktfuehrer', 372 ,1,-34,''
'stix', 23 ,0,0,''
'budstop', 117 ,0,0,''
'partydrugz4you', 3495 ,519,-5,''
'balr', 0 ,0,0,''
'dutchfriends', 0 ,0,0,''
'apomann', 0 ,0,0,''
'purex', 0 ,0,0,''
'sons-of-anarchi', 80 ,0,0,''
'suomipotenssi', 10 000+ ,1623,0,''
'twowolves', 1163 ,7,-2,''
'sexy-bitch1', 0 ,0,0,''
'dutchdrugsfrombb', 0 ,0,0,''
'party-fruits', 4818 ,128,-1,''
'appylove', 458 ,6,0,' France'
'qualityking', 51 ,0,0,''
'biosphere', 10 000+ ,85,-1,''
'superficialidentity', 10 000+ ,306,-5,' Norway'
'studyingsteve', 0 ,0,0,''
'paymepal', 0 ,0,0,''
'blue_fairy', 39 ,0,0,' Canada'
'bestprice', 0 ,0,0,''
'bobmarleysdrugstore', 73 ,0,-2,''
'fortunepharmacy', 0 ,0,0,''
'yunus88', 0 ,0,0,''
'winfieldblueau', 0 ,0,0,''
'greenstore', 10 000+ ,842,-7,' India'
'subsrgood', 0 ,0,0,''
'mrb3891', 0 ,0,0,''
'labsource', 0 ,0,0,''
'amsterdamflexx', 0 ,0,0,''
'hack992', 0 ,0,0,''
'copsneverbustu', 0 ,0,0,''
'electrum', 5632 ,78,-19,''
'sharuken', 0 ,0,0,''
'all_around_theclock', 0 ,0,0,''
'drugs-crew', 5943 ,193,-1,''
'donaldskunk', 0 ,0,0,''
'fatherted', 200 ,0,-1,' Ireland'
'lieferando', 48 ,0,0,''
'james215', 0 ,0,0,''
'british-knights', 36 ,1,0,''
'real_twizz', 0 ,0,0,''
'brabo-choke', 0 ,0,0,' France'
'theshop', 10 000+ ,687,0,' United States'
'galaxystore', 10 000+ ,339,-78,' Finland'
'benzobob', 0 ,0,0,''
'barto2378', 200 ,0,-1,' Germany, Czech Republic'
'luomukukka-oy', 10 000+ ,257,0,' Finland'
'sorryforthat187', 114 ,0,-1,''
'dakow', 0 ,0,0,''
'letssee1212-v', 0 ,0,0,''
'thefarmacy', 0 ,0,0,''
'sekatyolainen', 4478 ,112,-29,''
'lameen', 0 ,0,0,''
'chapomart2-0', 0 ,0,0,''
'ksanori', 10 000+ ,203,-12,' Finland'
'topshelfnugs', 4057 ,470,-21,''
'medicineball', 10 ,0,0,' United Kingdom'
